prompt,outdir,init_img,skip_grid,skip_save,ddim_steps,ddim_eta,n_iter,H,W,strength,n_rows,scale,from_file,seed,device,unet_bs,turbo,precision,format,frames
a painting of a virus monster playing guitar,outputs/img2img-samples,outputs\img2img-samples\a_painting_of_a_virus_monster_playing_guitar\seed_688234_00040.png,False,False,50,0.0,1,,,0.5,0,7.5,,538024,cuda,1,False,autocast,png,40
a painting of a virus monster playing guitar,outputs/img2img-samples,"outputs\img2img-samples\at_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,624562,cuda,1,False,autocast,png,10
a painting of a virus monster playing guitar,outputs/img2img-samples,"outputs\img2img-samples\at_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,848946,cuda,1,False,autocast,png,80
a painting of a virus monster playing guitar,outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,77863,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\at_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,120093,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,8108,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,955589,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,877721,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,590566,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,237204,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,688863,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,631551,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,63436,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,762236,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,12490,cuda,1,False,autocast,png,80
"cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali",outputs/img2img-samples,"outputs\img2img-samples\cat_litter_box_full_of_snails,_cat_sitting_in_litter_box,_painting_in_style_of_Salvador_Dali\seed_224937_00000.png",False,False,50,0.0,1,,,0.5,0,7.5,,238120,cuda,1,False,autocast,png,80
a painting of a virus monster playing guitar,outputs/img2img-samples,outputs\img2img-samples\a_painting_of_a_virus_monster_playing_guitar,False,False,50,0.0,1,,,0.5,0,7.5,,809601,cuda,1,False,autocast,png,80
a painting of a virus monster playing guitar,outputs/img2img-samples,F:\Github\stable-diffusion-for-dummies\outputs\img2img-samples\a_painting_of_a_virus_monster_playing_guitar\seed_77863_00000.png,False,False,50,0.0,1,,,0.5,0,7.5,,602780,cuda,1,False,autocast,png,80
a painting of a virus monster playing guitar,outputs/img2img-samples,F:\Github\stable-diffusion-for-dummies\outputs\img2img-samples\a_painting_of_a_virus_monster_playing_guitar\seed_77863_00000.png,False,False,50,0.0,1,,,0.5,0,7.5,,795715,cuda,1,False,autocast,png,80
a painting of a virus monster playing guitar,outputs/img2img-samples,F:\Github\stable-diffusion-for-dummies\outputs\img2img-samples\a_painting_of_a_virus_monster_playing_guitar\seed_795715_00000.png,False,False,50,0.0,1,,,0.5,0,7.5,,394604,cuda,1,False,autocast,png,10
a painting of a virus monster playing guitar,outputs/animation-samples,F:\Github\stable-diffusion-for-dummies\outputs\img2img-samples\a_painting_of_a_virus_monster_playing_guitar\seed_394604_00000.png,False,False,50,0.0,1,,,0.5,0,7.5,,516591,cuda,1,False,autocast,png,10
